                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9073,                0.24538,                0.50823,                0.38734,                0.04665,                0.04173,                0.01331,                 1.5318,                0.45726,                 0.2693,               0.019231,              8.085e-05,              8.085e-05
                      2,                 1.2388,                0.59557,                0.19314,                0.21464,                0.14279,                 0.0691,                0.03314,                 1.1187,                 0.6329,                0.16466,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.1156,                0.63501,                0.15867,                0.33046,                   0.18,                0.12255,                0.06753,                 1.0056,                0.64439,                0.13838,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.0671,                0.62877,                0.14554,                0.22431,                0.19677,                0.15315,                0.08388,                 0.9529,                0.62399,                0.12682,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.0344,                0.60937,                0.13427,                0.37259,                0.21789,                0.18738,                0.10283,                0.92424,                0.60478,                0.11124,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.0086,                0.60116,                 0.1276,                  0.305,                0.24133,                0.20765,                0.11831,                0.89702,                  0.604,                0.10933,                 0.0001,                 0.0001,                 0.0001
                      7,                0.98957,                0.59246,                0.12121,                0.33522,                0.25136,                 0.2197,                0.12565,                0.89051,                0.59739,                0.10903,                 0.0001,                 0.0001,                 0.0001
                      8,                0.97298,                0.58651,                0.11645,                0.34347,                0.26633,                0.23796,                0.13578,                0.86646,                0.59586,                0.10205,                 0.0001,                 0.0001,                 0.0001
                      9,                0.96255,                0.58152,                0.11238,                0.35567,                0.26951,                0.24481,                0.14058,                0.85329,                0.59417,                0.09897,                 0.0001,                 0.0001,                 0.0001
                     10,                0.94943,                0.58161,                0.11026,                0.36468,                0.26988,                0.25001,                0.14448,                0.84539,                0.59298,                0.09724,                 0.0001,                 0.0001,                 0.0001
                     11,                0.93597,                0.57983,                0.10803,                0.37501,                0.27749,                0.25712,                0.14931,                0.84066,                0.59133,                0.09687,                 0.0001,                 0.0001,                 0.0001
                     12,                0.92226,                0.57857,                0.10694,                0.37904,                0.27833,                0.26019,                0.15122,                0.83542,                0.59013,                0.09601,                 0.0001,                 0.0001,                 0.0001
                     13,                0.92546,                0.57318,                0.10446,                0.38155,                0.28136,                0.26459,                0.15412,                 0.8319,                0.58931,                0.09564,                 0.0001,                 0.0001,                 0.0001
                     14,                0.91291,                0.57218,                0.10358,                0.38675,                0.28468,                 0.2688,                0.15714,                 0.8266,                0.58917,                0.09474,                 0.0001,                 0.0001,                 0.0001
                     15,                0.90228,                0.57238,                0.10001,                0.39724,                 0.2873,                0.27284,                 0.1598,                0.82232,                0.58835,                0.09367,                 0.0001,                 0.0001,                 0.0001
                     16,                0.89619,                0.57055,                0.09907,                0.39877,                0.29235,                0.27804,                0.16318,                0.81741,                0.58791,                0.09319,                 0.0001,                 0.0001,                 0.0001
                     17,                0.88616,                0.56934,                0.09724,                0.40216,                0.29594,                0.28135,                0.16522,                0.81275,                0.58659,                0.09224,                 0.0001,                 0.0001,                 0.0001
