               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12825,             0.13344,             0.04904,             0.27288,             0.16137,             0.08377,            0.035612,             0.10615,             0.23246,            0.041687,            0.070074,           0.0033251,           0.0033251
                   1,             0.10929,             0.16944,            0.038038,             0.29902,             0.19826,             0.10931,            0.046401,             0.10338,             0.23655,            0.039121,            0.040019,           0.0066035,           0.0066035
                   2,              0.1072,             0.17255,            0.035642,             0.46327,             0.18661,             0.13763,            0.058469,             0.10108,             0.23638,            0.036773,           0.0099092,           0.0098269,           0.0098269
                   3,             0.10479,             0.17075,            0.033498,             0.51421,             0.19389,             0.16797,            0.078194,            0.098554,             0.23707,            0.035533,           0.0097525,           0.0097525,           0.0097525
                   4,             0.10257,             0.17146,            0.032165,             0.54124,             0.20747,             0.18697,            0.089829,            0.097467,              0.2359,            0.034676,           0.0097525,           0.0097525,           0.0097525
                   5,             0.10116,             0.16985,            0.031195,             0.45253,              0.2197,             0.20038,            0.094527,            0.097656,             0.23634,            0.034266,             0.00967,             0.00967,             0.00967
                   6,             0.10064,             0.16845,            0.030469,             0.47212,             0.23277,             0.21272,             0.10394,            0.096087,             0.23325,            0.033955,           0.0095875,           0.0095875,           0.0095875
                   7,              0.1001,             0.16809,            0.029956,             0.44833,             0.23649,             0.22358,             0.10993,            0.095608,              0.2331,            0.033205,            0.009505,            0.009505,            0.009505
                   8,            0.099217,             0.16788,            0.029464,             0.33052,             0.24737,             0.22824,             0.11339,            0.095347,             0.23272,             0.03315,           0.0094225,           0.0094225,           0.0094225
                   9,            0.098909,             0.16682,            0.029134,              0.3459,             0.26033,             0.23635,             0.11804,            0.094811,             0.23259,            0.033384,             0.00934,             0.00934,             0.00934
                  10,             0.09908,             0.16602,            0.028765,             0.33943,             0.26817,             0.24193,             0.11964,            0.094937,              0.2326,             0.03243,           0.0092575,           0.0092575,           0.0092575
                  11,            0.098267,             0.16676,            0.028323,             0.34883,             0.28057,             0.24734,             0.12368,            0.094748,             0.23262,             0.03237,            0.009175,            0.009175,            0.009175
                  12,            0.098171,             0.16655,            0.027945,             0.34309,             0.28703,             0.25424,             0.13168,            0.094257,             0.23167,            0.032216,           0.0090925,           0.0090925,           0.0090925
                  13,            0.097728,              0.1643,            0.027784,             0.35872,             0.29293,             0.26213,             0.13335,            0.093924,             0.23034,             0.03175,             0.00901,             0.00901,             0.00901
                  14,             0.09757,             0.16633,            0.027555,             0.35423,             0.29552,             0.26589,             0.13592,            0.093818,             0.23157,            0.031994,           0.0089275,           0.0089275,           0.0089275
                  15,            0.097335,             0.16451,             0.02741,             0.37032,             0.28816,             0.26255,             0.13378,            0.093682,             0.23072,            0.031808,            0.008845,            0.008845,            0.008845
                  16,            0.097503,             0.16571,            0.027168,             0.36978,             0.29175,             0.26878,             0.13753,            0.093494,             0.23068,            0.031615,           0.0087625,           0.0087625,           0.0087625
                  17,             0.09745,             0.16547,            0.026963,             0.38088,             0.29429,             0.27069,             0.13831,            0.093472,             0.23008,            0.031551,             0.00868,             0.00868,             0.00868
                  18,            0.096766,             0.16437,            0.026884,             0.36878,             0.29571,             0.27137,             0.14083,              0.0933,             0.23041,            0.031532,           0.0085975,           0.0085975,           0.0085975
                  19,            0.096779,             0.16505,             0.02662,             0.38263,             0.30371,             0.27543,             0.14224,            0.093206,             0.23059,            0.031338,            0.008515,            0.008515,            0.008515
                  20,            0.096587,             0.16206,            0.026349,             0.37972,             0.30179,             0.27942,             0.14283,            0.093371,             0.23088,              0.0312,           0.0084325,           0.0084325,           0.0084325
