                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0031,                  3.552,                 2.3236,                0.03986,                0.09572,                0.03986,                0.01426,                 2.9938,                 2.5478,                 1.5528,               0.070037,              0.0033292,              0.0033292
                      2,                 2.6106,                 2.3253,                 1.4518,                0.23128,                0.10163,                 0.0756,                0.03326,                 2.3086,                 1.9037,                  1.268,               0.039993,              0.0066186,              0.0066186
                      3,                 2.2545,                 1.9788,                 1.2873,                0.15807,                0.14982,                0.10567,                 0.0515,                 2.0061,                 1.7084,                 1.1763,              0.0099051,              0.0098639,              0.0098639
                      4,                 2.0446,                 1.7841,                 1.2075,                0.19548,                0.15924,                0.13596,                0.06847,                 1.8522,                 1.5175,                 1.1278,               0.009802,               0.009802,               0.009802
                      5,                 1.9044,                 1.6271,                  1.158,                0.23694,                0.18751,                 0.1638,                 0.0844,                 1.7296,                 1.3888,                 1.0876,               0.009736,               0.009736,               0.009736
                      6,                 1.8218,                 1.5268,                 1.1286,                0.25543,                0.19084,                0.16185,                 0.0846,                 1.7285,                 1.3725,                 1.0751,                0.00967,                0.00967,                0.00967
                      7,                 1.7502,                 1.4561,                 1.1045,                0.27059,                0.21633,                0.19021,                0.10215,                 1.6118,                 1.2974,                 1.0512,               0.009604,               0.009604,               0.009604
                      8,                 1.7042,                 1.4104,                   1.09,                0.31339,                 0.2251,                0.20806,                 0.1124,                 1.5718,                 1.2625,                  1.038,               0.009538,               0.009538,               0.009538
                      9,                 1.6696,                 1.3617,                 1.0746,                0.30083,                0.24264,                0.21373,                0.11626,                 1.5451,                   1.21,                 1.0267,               0.009472,               0.009472,               0.009472
                     10,                 1.6413,                 1.3257,                 1.0666,                0.31687,                0.25672,                0.22421,                0.12103,                 1.5338,                 1.1776,                 1.0219,               0.009406,               0.009406,               0.009406
                     11,                 1.6086,                 1.2901,                 1.0546,                0.31317,                 0.2508,                0.22457,                0.12325,                 1.5091,                 1.1636,                 1.0132,                0.00934,                0.00934,                0.00934
                     12,                 1.5889,                  1.277,                 1.0511,                0.33231,                0.25556,                0.23463,                0.12897,                 1.4839,                 1.1406,                 1.0063,               0.009274,               0.009274,               0.009274
                     13,                 1.5707,                 1.2475,                 1.0458,                 0.3402,                0.26424,                0.24429,                0.13353,                 1.4617,                 1.1227,                0.99911,               0.009208,               0.009208,               0.009208
                     14,                 1.5513,                 1.2245,                 1.0356,                0.37549,                0.26837,                0.25714,                0.14197,                 1.4412,                  1.102,                0.99307,               0.009142,               0.009142,               0.009142
                     15,                 1.5327,                  1.199,                 1.0291,                0.35487,                0.28145,                0.26116,                0.14438,                 1.4325,                 1.0865,                0.99263,               0.009076,               0.009076,               0.009076
                     16,                 1.5248,                 1.1877,                 1.0264,                0.37688,                0.28376,                 0.2701,                0.15044,                 1.4174,                 1.0687,                0.98824,                0.00901,                0.00901,                0.00901
                     17,                 1.5083,                 1.1754,                 1.0217,                0.36691,                0.28561,                0.27166,                 0.1508,                 1.4095,                 1.0634,                0.98426,               0.008944,               0.008944,               0.008944
                     18,                 1.4916,                 1.1558,                 1.0207,                0.37537,                0.28969,                0.27897,                0.15574,                 1.3972,                 1.0576,                0.98261,               0.008878,               0.008878,               0.008878
                     19,                 1.4836,                 1.1441,                 1.0186,                0.37652,                0.30117,                0.28218,                 0.1565,                 1.3996,                 1.0453,                0.98206,               0.008812,               0.008812,               0.008812
                     20,                 1.4745,                 1.1326,                 1.0113,                0.36129,                0.29427,                0.27796,                0.15498,                 1.3878,                 1.0414,                 0.9776,               0.008746,               0.008746,               0.008746
                     21,                 1.4687,                 1.1294,                 1.0115,                0.38046,                0.29378,                0.28285,                0.15888,                 1.3729,                 1.0332,                0.97481,                0.00868,                0.00868,                0.00868
                     22,                 1.4571,                 1.1122,                 1.0079,                0.39757,                0.29754,                0.28977,                0.16288,                  1.369,                 1.0227,                0.97176,               0.008614,               0.008614,               0.008614
                     23,                 1.4578,                 1.1132,                 1.0082,                0.38978,                0.31202,                0.29793,                0.16727,                 1.3464,                 1.0069,                0.96641,               0.008548,               0.008548,               0.008548
                     24,                 1.4335,                 1.0944,                 1.0017,                0.38747,                0.31057,                0.29784,                0.16964,                 1.3488,                 1.0074,                0.96919,               0.008482,               0.008482,               0.008482
                     25,                 1.4296,                  1.082,                 1.0018,                0.39699,                0.31389,                0.30125,                0.17189,                 1.3438,                 1.0007,                0.96635,               0.008416,               0.008416,               0.008416
                     26,                 1.4338,                 1.0843,                0.99975,                0.40561,                 0.3093,                0.30184,                0.17097,                  1.344,                 1.0005,                0.96613,                0.00835,                0.00835,                0.00835
                     27,                 1.4167,                 1.0667,                0.99778,                0.40995,                 0.3185,                0.30637,                0.17407,                  1.337,                0.99492,                 0.9626,               0.008284,               0.008284,               0.008284
                     28,                 1.4094,                 1.0602,                0.99308,                0.40596,                0.32081,                0.30607,                0.17416,                 1.3331,                0.98633,                0.96253,               0.008218,               0.008218,               0.008218
                     29,                 1.4111,                 1.0606,                0.99523,                0.40363,                0.31382,                0.30682,                0.17623,                  1.328,                 0.9897,                0.96233,               0.008152,               0.008152,               0.008152
                     30,                 1.4083,                 1.0499,                0.99248,                0.42836,                0.32242,                0.31642,                0.17998,                 1.3186,                0.97494,                0.95845,               0.008086,               0.008086,               0.008086
                     31,                 1.4075,                 1.0494,                0.99114,                0.41251,                0.32599,                0.31648,                0.18018,                 1.3165,                0.96917,                  0.958,                0.00802,                0.00802,                0.00802
                     32,                 1.3956,                 1.0391,                0.98603,                 0.4179,                0.32165,                0.31506,                0.18006,                 1.3157,                0.97121,                0.95757,               0.007954,               0.007954,               0.007954
                     33,                 1.3915,                 1.0353,                0.98525,                0.40806,                0.32613,                0.31415,                0.17996,                 1.3154,                0.97124,                0.95807,               0.007888,               0.007888,               0.007888
                     34,                 1.3815,                 1.0265,                0.98525,                0.42524,                0.32623,                 0.3234,                0.18741,                 1.2953,                0.95633,                0.95271,               0.007822,               0.007822,               0.007822
                     35,                 1.3737,                 1.0207,                0.98119,                0.41675,                0.33251,                0.32564,                 0.1864,                 1.3018,                 0.9558,                0.95384,               0.007756,               0.007756,               0.007756
                     36,                 1.3698,                 1.0134,                0.98033,                0.42998,                 0.3333,                0.33152,                0.19112,                 1.2936,                0.94659,                0.95181,                0.00769,                0.00769,                0.00769
                     37,                 1.3698,                 1.0117,                0.98182,                0.42708,                 0.3387,                0.33153,                0.19087,                 1.2897,                0.94069,                0.94952,               0.007624,               0.007624,               0.007624
                     38,                 1.3703,                 1.0073,                0.97913,                0.43502,                0.33129,                 0.3293,                0.18958,                 1.2883,                0.94129,                 0.9493,               0.007558,               0.007558,               0.007558
                     39,                 1.3666,                 1.0038,                0.97677,                0.43305,                0.34153,                 0.3358,                 0.1939,                 1.2877,                0.94372,                0.94986,               0.007492,               0.007492,               0.007492
                     40,                 1.3615,                  1.001,                0.97854,                0.44153,                  0.333,                0.33527,                 0.1944,                 1.2795,                0.93387,                0.94793,               0.007426,               0.007426,               0.007426
                     41,                 1.3585,                0.99869,                0.97878,                 0.4293,                0.34424,                0.33667,                0.19451,                 1.2751,                0.93215,                0.94518,                0.00736,                0.00736,                0.00736
                     42,                 1.3517,                0.99439,                0.97662,                 0.4424,                0.33562,                0.33256,                0.19251,                 1.2828,                0.93723,                0.94764,               0.007294,               0.007294,               0.007294
                     43,                 1.3507,                0.99226,                0.97568,                0.44721,                0.34171,                0.34054,                 0.1979,                 1.2766,                0.92666,                0.94682,               0.007228,               0.007228,               0.007228
                     44,                 1.3471,                0.98881,                0.97506,                 0.4507,                0.33808,                0.33929,                0.19713,                 1.2778,                0.92509,                 0.9461,               0.007162,               0.007162,               0.007162
                     45,                 1.3419,                0.97866,                0.97381,                0.44837,                0.34339,                0.34111,                0.19851,                 1.2725,                0.92234,                0.94521,               0.007096,               0.007096,               0.007096
                     46,                 1.3494,                0.97825,                0.97289,                0.45236,                0.33987,                0.34416,                0.19974,                  1.268,                0.91862,                0.94322,                0.00703,                0.00703,                0.00703
                     47,                 1.3422,                0.97702,                0.97067,                0.44623,                0.33917,                0.34341,                0.20107,                 1.2659,                0.91867,                0.94382,               0.006964,               0.006964,               0.006964
                     48,                  1.339,                0.97488,                0.96993,                0.45427,                0.34116,                0.34217,                0.19932,                 1.2585,                0.91512,                0.94016,               0.006898,               0.006898,               0.006898
                     49,                 1.3363,                0.96842,                0.97135,                0.46626,                0.33932,                0.34988,                0.20495,                 1.2551,                0.90896,                0.94004,               0.006832,               0.006832,               0.006832
                     50,                 1.3296,                 0.9658,                0.96911,                 0.4566,                 0.3493,                0.35011,                0.20454,                  1.261,                0.90933,                0.94195,               0.006766,               0.006766,               0.006766
                     51,                 1.3234,                0.96028,                0.96642,                0.46001,                0.34785,                0.35053,                0.20661,                 1.2563,                0.90769,                0.94009,                 0.0067,                 0.0067,                 0.0067
